mode,rate,position,accuracy,macro_f1,mae,pearson,n
text+audio,0.1,start,0.6822558459422283,0.6156536319007715,0.6010857820510864,0.7018543117362324,727
text+audio,0.1,middle,0.6795048143053645,0.6169065922585364,0.6007973551750183,0.705820614620233,727
text+audio,0.1,end,0.6808803301237965,0.6069359944391116,0.6050921082496643,0.6986371167620127,727
text+audio,0.3,start,0.6795048143053645,0.6181167504752662,0.6203044652938843,0.6793421621885364,727
text+audio,0.3,middle,0.6533700137551581,0.5871472158657514,0.6182605624198914,0.6908773293468213,727
text+audio,0.3,end,0.6753782668500687,0.6113672181487413,0.6211420893669128,0.6767051034242773,727
text+audio,0.5,start,0.6519944979367263,0.5926957945214011,0.6502516269683838,0.645192711029867,727
text+audio,0.5,middle,0.6588720770288858,0.602483499833772,0.6305508613586426,0.6762440382522826,727
text+audio,0.5,end,0.6629986244841816,0.5990896898370736,0.6426039934158325,0.6497843855471217,727
text+vision,0.1,start,0.6808803301237965,0.6147127886620245,0.6000350117683411,0.703209318623924,727
text+vision,0.1,middle,0.6795048143053645,0.6145212021454124,0.600658655166626,0.7059144927911486,727
text+vision,0.1,end,0.6822558459422283,0.6102672381366068,0.6051943302154541,0.698103869010301,727
text+vision,0.3,start,0.686382393397524,0.6255757780024717,0.6166869401931763,0.6832994664446876,727
text+vision,0.3,middle,0.6588720770288858,0.5932798993405903,0.6184713244438171,0.6903129551044493,727
text+vision,0.3,end,0.671251719394773,0.6094715916412353,0.6237140893936157,0.673507976129756,727
text+vision,0.5,start,0.6547455295735901,0.5982011747430249,0.6441015005111694,0.6515872538152638,727
text+vision,0.5,middle,0.657496561210454,0.5974643163742163,0.6325525045394897,0.673744334211301,727
text+vision,0.5,end,0.6616231086657497,0.6027998718397226,0.6459605097770691,0.6449580620585257,727
audio+vision,0.1,start,0.6850068775790922,0.6163380894337086,0.5972733497619629,0.7076101262424422,727
audio+vision,0.1,middle,0.686382393397524,0.6208910750971649,0.5975388884544373,0.7073708054094574,727
audio+vision,0.1,end,0.6822558459422283,0.6128196481849028,0.5985003113746643,0.7079603621161523,727
audio+vision,0.3,start,0.686382393397524,0.620534259749946,0.5977062582969666,0.7082670635218662,727
audio+vision,0.3,middle,0.6822558459422283,0.6177050284056209,0.5982095003128052,0.7065578423858987,727
audio+vision,0.3,end,0.686382393397524,0.619087575902497,0.5960245728492737,0.7093602159942949,727
audio+vision,0.5,start,0.687757909215956,0.6253215207383578,0.5989031791687012,0.7055131739428518,727
audio+vision,0.5,middle,0.686382393397524,0.6234420416589508,0.5976090431213379,0.7070945001919854,727
audio+vision,0.5,end,0.6850068775790922,0.6194197274197274,0.5965495705604553,0.7086279672614584,727
text+audio+vision,0.1,start,0.6808803301237965,0.6147127886620245,0.6004611849784851,0.7023124916506303,727
text+audio+vision,0.1,middle,0.6822558459422283,0.6193071406879419,0.6002938151359558,0.7057113621406266,727
text+audio+vision,0.1,end,0.6808803301237965,0.606816316741451,0.6051228642463684,0.6985189027772359,727
text+audio+vision,0.3,start,0.6795048143053645,0.6183773216698851,0.6191875338554382,0.6806597803190211,727
text+audio+vision,0.3,middle,0.6588720770288858,0.5979101492241167,0.6167641282081604,0.6907625593448519,727
text+audio+vision,0.3,end,0.672627235213205,0.6090836927404986,0.6227678060531616,0.6755824367589819,727
text+audio+vision,0.5,start,0.657496561210454,0.6041311042725988,0.6468424797058105,0.6460502089574515,727
text+audio+vision,0.5,middle,0.6671251719394773,0.6160865505061852,0.6289870738983154,0.6760644204134492,727
text+audio+vision,0.5,end,0.6602475928473177,0.5998966481744241,0.6442458033561707,0.6474887713945051,727
