kind,modalities,rate,position,mask_seed,accuracy,macro_f1,weighted_f1,mae,pearson
position,A,0.3,random,701,0.6524725274725275,0.6261122514366524,0.648376615763981,0.5938596725463867,0.6615336743424249
position,A,0.3,random,702,0.6524725274725275,0.6254967925393248,0.6479032813750915,0.5938941836357117,0.6627496247187763
position,A,0.3,random,703,0.6524725274725275,0.6258628565179581,0.6482716269799479,0.5939683318138123,0.6615723467048383
position,V,0.3,front,701,0.6456043956043956,0.6185267882080493,0.6416821852205046,0.5927881002426147,0.6598284276501821
position,V,0.3,front,702,0.6456043956043956,0.6185267882080493,0.6416821852205046,0.5927881002426147,0.6598284276501821
position,V,0.3,front,703,0.6456043956043956,0.6185267882080493,0.6416821852205046,0.5927881002426147,0.6598284276501821
position,V,0.3,middle,701,0.6414835164835165,0.6118500207971751,0.6362528414390705,0.5962719917297363,0.6574030238368876
position,V,0.3,middle,702,0.6414835164835165,0.6118500207971751,0.6362528414390705,0.5962719917297363,0.6574030238368876
position,V,0.3,middle,703,0.6414835164835165,0.6118500207971751,0.6362528414390705,0.5962719917297363,0.6574030238368876
position,V,0.3,back,701,0.646978021978022,0.6202607022256771,0.6431304864832421,0.5978047847747803,0.6573411168451435
position,V,0.3,back,702,0.646978021978022,0.6202607022256771,0.6431304864832421,0.5978047847747803,0.6573411168451435
position,V,0.3,back,703,0.646978021978022,0.6202607022256771,0.6431304864832421,0.5978047847747803,0.6573411168451435
position,V,0.3,random,701,0.6401098901098901,0.6111618351974436,0.6356888039924414,0.5957282185554504,0.6581260308887735
position,V,0.3,random,702,0.6401098901098901,0.6113974874189928,0.635735050493115,0.5947274565696716,0.6576738372815125
position,V,0.3,random,703,0.6401098901098901,0.6116873197523773,0.6353258623286806,0.595700740814209,0.6587086381134859
position,TA,0.3,front,701,0.5947802197802198,0.5610093040862272,0.5886219336219336,0.6388626098632812,0.5910976179179632
position,TA,0.3,front,702,0.5947802197802198,0.5610093040862272,0.5886219336219336,0.6388626098632812,0.5910976179179632
position,TA,0.3,front,703,0.5947802197802198,0.5610093040862272,0.5886219336219336,0.6388626098632812,0.5910976179179632
