group,seed,epochs,dev_n,accuracy,macro_f1,raw_mae,raw_pearson,missing_macro_f1,seconds
length_0.5,20267001,10,391,0.6265984654731458,0.5993272012886145,0.6032056212425232,0.6602504253387451,0.5769418830483851,23.521078300000227
length_0.5,20267002,10,391,0.6061381074168798,0.585212427076525,0.6277629137039185,0.6642032265663147,0.5700002886178884,31.755639499999234
length_0.5,20267003,10,391,0.618925831202046,0.5875267511631148,0.6220152974128723,0.6460084319114685,0.5776004169995336,37.80689809999967
mean_fusion,20267001,10,391,0.6265984654731458,0.5964490806596069,0.6144959926605225,0.6517370939254761,0.5794458474933223,22.289785199998732
mean_fusion,20267002,10,391,0.6010230179028133,0.5850604769329039,0.6313925981521606,0.657536506652832,0.5753355674153662,23.27912500000093
mean_fusion,20267003,10,391,0.639386189258312,0.6131573187192698,0.6176707148551941,0.6522740125656128,0.5924861328975363,23.24556140000277
mean_pool,20267001,10,391,0.6061381074168798,0.5783074262362532,0.6247528195381165,0.6432741284370422,0.5730562504114799,22.56641149999996
mean_pool,20267002,10,391,0.6061381074168798,0.5888527015833956,0.6288920640945435,0.6608715653419495,0.5789050044988557,22.383854300001985
mean_pool,20267003,10,391,0.6342710997442456,0.5990793734003185,0.6179473400115967,0.6563820838928223,0.5863175202089832,23.26983509999991
no_mask,20267001,10,391,0.6317135549872123,0.5990705847482746,0.6136979460716248,0.6552470922470093,0.5740912494286375,22.65400790000058
no_mask,20267002,10,391,0.59846547314578,0.5790462859484361,0.6335870027542114,0.6633399128913879,0.5692477501247709,22.489388599999074
no_mask,20267003,10,391,0.6470588235294118,0.6215633490034963,0.6078699827194214,0.6581547260284424,0.5948536864271575,22.885565399999905
prob_0,20267001,10,391,0.6138107416879796,0.5842402402402401,0.6139650344848633,0.6518083810806274,0.5719533864156827,58.27475169999889
prob_0,20267002,10,391,0.6035805626598465,0.5853203270877599,0.6207605600357056,0.6669461131095886,0.5696859312032739,46.4034825000017
prob_0,20267003,10,391,0.6112531969309463,0.5891426033671788,0.6121713519096375,0.6568542122840881,0.5774763687447596,45.710246700000425
prob_0.1,20267001,10,391,0.6317135549872123,0.6021977664848995,0.6087561249732971,0.6554132103919983,0.5825095563096566,46.11438179999823
prob_0.1,20267002,10,391,0.6010230179028133,0.5837001467253567,0.6268405318260193,0.6634714007377625,0.5767063149562534,40.10309210000196
prob_0.1,20267003,10,391,0.6368286445012787,0.6130429742751197,0.609402596950531,0.6591895222663879,0.5887796843721687,34.63159040000028
prob_0.5,20267001,10,391,0.6368286445012787,0.6069757386835151,0.6081874966621399,0.6533324718475342,0.589190398083652,33.12184890000208
prob_0.5,20267002,10,391,0.6086956521739131,0.5907034503252037,0.6228010654449463,0.6636548042297363,0.584555436898425,47.234085299998696
prob_0.5,20267003,10,391,0.6419437340153452,0.6110010208370865,0.6088951230049133,0.6588444709777832,0.5980006190912226,22.56462190000093
reg_only,20267001,10,391,,,0.5889447927474976,0.6631607413291931,,22.253087799999776
reg_only,20267002,10,391,,,0.59708172082901,0.6833356022834778,,22.333368800002063
reg_only,20267003,10,391,,,0.624532163143158,0.6467463374137878,,23.10297509999873
unweighted,20267001,10,391,0.6163682864450127,0.5688657394275912,0.6135956645011902,0.6552862524986267,0.5611459533964369,23.363320600001316
unweighted,20267002,10,391,0.6061381074168798,0.5823766731753331,0.6329678893089294,0.6595441699028015,0.5719908281968461,23.37921269999788
unweighted,20267003,10,391,0.649616368286445,0.6132173869015974,0.6079612970352173,0.6555088758468628,0.5912908023956237,22.291175499998644
